# wavelength Fnu
# [wavelength] = Angstrom
# [Fnu] = erg / s / Hz / cm^2
6.4600e+03 1.3914e-16
6.4616e+03 1.3982e-16
6.4633e+03 1.3866e-16
6.4649e+03 1.3808e-16
6.4666e+03 1.3959e-16
6.4682e+03 1.4011e-16
6.4699e+03 1.3878e-16
6.4715e+03 1.3907e-16
6.4732e+03 1.3932e-16
6.4748e+03 1.3966e-16
6.4765e+03 1.3907e-16
6.4781e+03 1.3940e-16
6.4798e+03 1.3888e-16
6.4814e+03 1.3966e-16
6.4831e+03 1.3970e-16
6.4847e+03 1.3915e-16
6.4864e+03 1.3986e-16
6.4880e+03 1.3868e-16
6.4897e+03 1.3908e-16
6.4913e+03 1.3920e-16
6.4930e+03 1.3964e-16
6.4946e+03 1.4085e-16
6.4963e+03 1.3976e-16
6.4979e+03 1.3856e-16
6.4996e+03 1.3807e-16
6.5012e+03 1.3941e-16
6.5029e+03 1.4030e-16
6.5045e+03 1.3921e-16
6.5062e+03 1.3886e-16
6.5078e+03 1.4018e-16
6.5095e+03 1.4004e-16
6.5111e+03 1.4019e-16
6.5128e+03 1.3941e-16
6.5144e+03 1.4047e-16
6.5161e+03 1.3937e-16
6.5177e+03 1.3934e-16
6.5194e+03 1.4014e-16
6.5210e+03 1.4060e-16
6.5227e+03 1.3885e-16
6.5243e+03 1.4023e-16
6.5260e+03 1.4026e-16
6.5276e+03 1.3977e-16
6.5293e+03 1.3939e-16
6.5309e+03 1.4075e-16
6.5326e+03 1.3958e-16
6.5342e+03 1.3922e-16
6.5359e+03 1.3935e-16
6.5375e+03 1.4092e-16
6.5392e+03 1.3998e-16
6.5408e+03 1.4034e-16
6.5425e+03 1.4064e-16
6.5441e+03 1.4032e-16
6.5458e+03 1.3934e-16
6.5474e+03 1.3910e-16
6.5491e+03 1.4022e-16
6.5507e+03 1.3932e-16
6.5524e+03 1.3845e-16
6.5540e+03 1.4036e-16
6.5557e+03 1.3853e-16
6.5573e+03 1.3716e-16
6.5590e+03 1.3703e-16
6.5606e+03 1.3241e-16
6.5623e+03 1.2974e-16
6.5639e+03 1.3055e-16
6.5656e+03 1.3152e-16
6.5672e+03 1.3677e-16
6.5689e+03 1.3694e-16
6.5705e+03 1.3902e-16
6.5722e+03 1.3870e-16
6.5738e+03 1.3924e-16
6.5755e+03 1.3989e-16
6.5771e+03 1.3873e-16
6.5788e+03 1.3950e-16
6.5804e+03 1.4022e-16
6.5821e+03 1.3996e-16
6.5837e+03 1.4024e-16
6.5854e+03 1.4036e-16
6.5870e+03 1.4128e-16
6.5887e+03 1.3977e-16
6.5903e+03 1.4121e-16
6.5920e+03 1.3964e-16
6.5936e+03 1.4077e-16
6.5953e+03 1.4019e-16
6.5969e+03 1.3915e-16
6.5986e+03 1.4113e-16
6.6002e+03 1.3989e-16
6.6019e+03 1.4062e-16
6.6035e+03 1.4110e-16
6.6052e+03 1.4048e-16
6.6068e+03 1.3952e-16
6.6085e+03 1.4044e-16
6.6101e+03 1.3930e-16
6.6118e+03 1.4036e-16
6.6134e+03 1.4056e-16
6.6151e+03 1.4069e-16
6.6167e+03 1.3998e-16
6.6184e+03 1.4059e-16
6.6200e+03 1.4062e-16
6.6217e+03 1.3934e-16
6.6233e+03 1.3990e-16
6.6250e+03 1.4128e-16
6.6266e+03 1.4096e-16
6.6283e+03 1.4052e-16
6.6299e+03 1.3978e-16
6.6316e+03 1.3999e-16
6.6332e+03 1.4068e-16
6.6349e+03 1.4148e-16
6.6365e+03 1.4031e-16
6.6382e+03 1.4006e-16
6.6398e+03 1.4121e-16
6.6415e+03 1.3978e-16
6.6431e+03 1.4172e-16
6.6448e+03 1.4061e-16
6.6464e+03 1.4071e-16
6.6481e+03 1.3972e-16
6.6497e+03 1.4137e-16
6.6514e+03 1.4090e-16
6.6530e+03 1.4028e-16
6.6547e+03 1.4118e-16
6.6563e+03 1.4137e-16
6.6580e+03 1.4059e-16
6.6596e+03 1.4118e-16
